1006	8621	3	35.1
835	101	34	9.41
108	6761	3	6.49
2073	4045	3	32.95
509	839	3	12.35
414	2446	4	26.55
17750	113	5	46.14
1085	716	3	15.9
166	1237	11	52.86
2692	137	14	87.64
108	1806	12	17.24
112	619	7	4.43
10203	106	4	13.89
1637	7682	4	52.12
2074	2146	3	27.71
7704	105	5	15.21
2556	1768	3	27.94
2011	45	5	11.23
988	39	12	28.75
11233	103	3	6.85
10215	14	8	29.89
307	205	23	90.54
114	361	11	6.31
151	331	12	23.8
3241	1863	5	55.75
2039	116	18	86.1
1556	281	9	57.67
103	9201	3	5.25
334	4447	4	31.64
5685	106	7	19.71
14027	3825	6	110.3
114	7092	4	20.36
3474	111	7	26.27
600	1147	10	74.8
374	103	53	12.72
3508	182	15	125.12
21862	1386	4	67.89
947	369	3	11.27
211	2650	4	20.79
3367	107	7	12.48
653	1468	3	17.29
181	1517	10	52.52
150	629	110	832.27
472	6607	6	64.73
412	1733	3	15.73
1952	251	13	95.82
354	101	218	365.36
5622	2116	4	50.56
329	4407	3	21.9
13427	45	7	62.93
578	361	3	8.29
166	1885	21	148.45
2344	113	6	16.7
1317	108	21	36.83
1797	1828	4	36.46
16	3953	3	4.5
5246	106	47	375.51
741	243	16	87.11
509	15991	4	52.05
940	2348	16	178.44
3598	671	3	24.38
1071	133	4	6.65
2414	107	6	5.04
168	10076	4	34.33
27018	431	3	42.74
826	1076	3	16.83
1338	103	21	14.44
625	31462	3	49.47
1750	121	3	4.58
669	6046	3	28.91
23990	2225	3	53.56
2624	349	5	35.05
128	224	19	23.16
20276	102	3	11.97
103	1104	90	254.75
253	1634	8	48.02
768	332	11	61.57
130	318	16	26.99
132	1573	8	29.13
103	233	91	17.69
101	1930	159	875.34
101	3925	9	8.52
104	2343	12	13.31
159	3603	4	21.06
15616	21508	3	69.44
320	110	65	153.53
9208	193	6	57.84
11901	149	3	23.99
2049	3676	8	102.1
561	7090	3	29.33
343	760	3	9.46
2865	257	3	16.5
312	986	9	51.19
3465	104	6	5.21
2441	106	34	121.94
345	419	7	25.23
122	3332	3	8.93
20809	450	3	39.25
1304	240	4	15.74
6766	105	4	8.84
3284	215	8	57.92
152	920	7	20.35
2225	117	5	12.74
154	133	214	994.51
1394	381	6	35.81
16	8351	7	37.37
464	1921	3	17.34
7210	110	4	16.9
1554	2949	7	78.08
1456	471	4	22.91
432	700	6	28.52
102	821	202	723.59
254	603	39	274.81
101	2149	121	595.31
106	3451	5	4.89
104	3731	17	48.88
8665	107	4	13.35
3386	1595	17	230.37
641	2302	9	81.38
905	102	53	60.95
395	288	6	17.27
8348	14	21	124.94
408	13759	5	62.92
102	4508	13	28.05
101	4788	16	39.99
105	5968	14	61.69
39	9555	6	42.72
333	9963	3	29.5
484	1334	4	22.38
1091	1007	4	26.59
128	1739	3	5.67
2233	127	3	7.12
1116	141	62	456.19
104	1254	19	14.08
105	4135	8	17.23
347	17719	6	86.35
223	1797	5	24.75
10741	102	3	5.56
734	1734	3	19.19
168	8782	3	22.55
6220	104	12	44.84
429	1790	3	16.26
2871	106	23	74.61
1842	884	7	60.66
725	433	3	10.49
19127	102	3	11.97
502	22651	5	80.45
2938	5652	3	38.77
110	2789	6	14.22
267	624	8	32.73
1124	1731	3	22
110	926	16	29.13
230	3085	3	16.09
240	22807	3	36.31
3036	292	3	18.07
1023	255	3	9.36
39	24219	3	28.67
381	301	4	8.74
1952	520	6	44.38
148	144	19	13.48
115	188	19	5.4
241	1101	5	20.16
243	326	5	8.85
747	1252	3	17.15
947	135	4	6.26
5136	137	4	22.18
101	9916	8	27
1080	379	5	25.3
14986	201	3	29.23
3569	107	5	6.83
439	222	4	6.87
534	101	56	17.23
8539	21503	5	116.85
211	4721	9	76.8
3159	368	3	19.76
151	568	6	10.3
1234	108	20	31.39
626	1579	5	34.3
45	13	7	3.9
1739	3579	9	112.75
39	3005	3	6.88
818	118	5	4.23
305	672	3	8.13
843	591	7	42.43
1266	230	3	9.75
186	11877	11	135.28
5532	107	3	4.69
1601	186	4	14.66
30446	2612	3	59.37
25901	101	4	25.44
4505	3395	3	37.81
1351	647	6	41.68
1862	962	3	21.53
1222	110	7	7.13
13373	101	3	6.87
110	154	137	234.72
682	2	3	7.03
572	249	4	9.75
2042	102	13	6.33
2400	120	4	10.34
1473	138	13	59.84
101	26233	4	25.44
577	3661	4	33.89
1350	216	6	26.56
1258	172	4	11.88
7329	138	3	18.27
261	785	8	35.75
2663	155	4	16.94
3640	5392	3	40.15
2452	602	3	20.56
5077	3693	5	71.77
6069	107	5	13.48
146	240	13	17.09
209	696	9	33.68
3787	107	6	10.89
39	1204	7	12.84
